# For clips which all frames are abnormal, skip the AUC evaluation of the clip and count when evaluating average AUC of the entire test set.
+----------+-------------+-------------+-------------+-------------+
| VIDEO-ID | AUROC-Recon | AUROC-FlowA | AUROC-FlowM | AUROC-Total |
+----------+-------------+-------------+-------------+-------------+
| 01_0014  |    0.9591   |    0.9738   |    0.9731   |    0.9735   |
| 01_0015  |    0.9988   |    0.9681   |    0.9536   |    0.9582   |
| 01_0016  |    0.9643   |    0.9587   |    0.9455   |    0.9510   |
| 01_0025  |    0.6820   |    0.6781   |    0.6696   |    0.6727   |
| 01_0026  |    0.7523   |    0.7659   |    0.7802   |    0.7754   |
| 01_0027  |    0.9432   |    0.9167   |    0.9075   |    0.9106   |
| 01_0028  |    0.9508   |    0.9463   |    0.9633   |    0.9530   |
| 01_0029  |    0.9777   |    0.9923   |    0.9894   |    0.9909   |
| 01_0030  |    0.7944   |    0.6789   |    0.6522   |    0.6615   |
| 01_0051  |    0.9979   |    0.9962   |    0.9965   |    0.9966   |
| 01_0052  |    0.7731   |    0.7981   |    0.8027   |    0.7939   |
| 01_0053  |    0.9803   |    0.9478   |    0.9333   |    0.9402   |
| 01_0054  |    0.5942   |    0.5566   |    0.5715   |    0.5673   |
| 01_0055  |    0.9424   |    0.9517   |    0.9540   |    0.9532   |
| 01_0056  |    0.9927   |    0.9997   |    0.9951   |    0.9981   |
| 01_0063  |    0.9247   |    0.8877   |    0.8754   |    0.8802   |
| 01_0064  |    0.9605   |    0.9828   |    0.9815   |    0.9821   |
| 01_0073  |    0.9754   |    0.9453   |    0.9316   |    0.9355   |
| 01_0076  |    0.8138   |    0.8094   |    0.8085   |    0.8088   |
| 01_0129  |    0.9999   |    0.9998   |    0.9999   |    1.0000   |
| 01_0130  |    0.9432   |    0.9702   |    0.9729   |    0.9716   |
| 01_0131  |    0.9810   |    0.9795   |    0.9752   |    0.9768   |
| 01_0132  |    0.9988   |    0.9949   |    0.9847   |    0.9915   |
| 01_0133  |    0.3935   |    0.6481   |    0.8102   |    0.6759   |
| 01_0134  |    0.9768   |    0.9617   |    0.9480   |    0.9525   |
